PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,MONTH
25725.00,55761.00,0.00,345.00,WN,19393,Southwest Airlines Co.,06725,14570,1457002,34570,RNO,"Reno, NV",NV,32,Nevada,85,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1
25742.00,74573.00,0.00,337.00,WN,19393,Southwest Airlines Co.,06725,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,13796,1379609,32457,OAK,"Oakland, CA",CA,06,California,91,1
25832.00,11760.00,102787.00,1514.00,UA,19977,United Air Lines Inc.,0A875,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1
25833.00,6705.00,14222.00,989.00,AA,19805,American Airlines Inc.,0A050,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1
25931.00,1040673.00,152194.00,2398.00,UA,19977,United Air Lines Inc.,0A875,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,1
25970.00,8686.00,132809.00,599.00,AA,19805,American Airlines Inc.,0A050,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1
25988.00,95979.00,1217.00,679.00,AS,19930,Alaska Airlines Inc.,06031,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,1
25998.00,12717.00,0.00,444.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14986,1498603,34986,SRQ,"Sarasota/Bradenton, FL",FL,12,Florida,33,1
26061.00,18330.00,26010.00,337.00,UA,19977,United Air Lines Inc.,0A875,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,1
26081.00,348475.00,156923.00,2288.00,UA,19977,United Air Lines Inc.,0A875,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,1
26089.00,32360.00,0.00,651.00,WN,19393,Southwest Airlines Co.,06725,11292,1129202,30325,DEN,"Denver, CO",CO,08,Colorado,82,11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74,1
26156.00,6209.00,34467.00,1916.00,AA,19805,American Airlines Inc.,0A050,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1
26216.00,7079.00,0.00,214.00,DL,19790,Delta Air Lines Inc.,01260,14685,1468502,34685,SAV,"Savannah, GA",GA,13,Georgia,34,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
26241.00,51456.00,27571.00,746.00,DL,19790,Delta Air Lines Inc.,01260,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,1
26339.00,0.00,0.00,1076.00,B6,20409,JetBlue Airways,06673,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,12953,1295304,31703,LGA,"New York, NY",NY,36,New York,22,1
26380.00,97419.00,115268.00,2139.00,DL,19790,Delta Air Lines Inc.,01260,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,14771,1477104,32457,SFO,"San Francisco, CA",CA,06,California,91,1
