BETWEENNESS_CENTRALITY_SCORE,AIRPORT,CITY_NAME
0.0,{'PTH'},"{'Port Heiden, AK'}"
0.0,{'ROA'},"{'Roanoke, VA'}"
0.0,{'ROC'},"{'Rochester, NY'}"
0.0,{'ROG'},"{'Rogers, AR'}"
0.0,{'SHD'},"{'Staunton, VA'}"
0.0,{'SHH'},"{'Shishmaref, AK'}"
0.0,{'SHR'},"{'Sheridan, WY'}"
0.0,{'SHX'},"{'Shageluk, AK'}"
0.0,{'SJT'},"{'San Angelo, TX'}"
0.0,{'SKK'},"{'Shaktoolik, AK'}"
0.0,{'SKW'},"{'Skwentna, AK'}"
0.0,{'SLK'},"{'Saranac Lake/Lake Placid, NY'}"
0.0,{'SLN'},"{'Salina, KS'}"
0.0,{'SLQ'},"{'Sleetmute, AK'}"
0.0,{'SMK'},"{'St. Michael, AK'}"
0.0,{'SMX'},"{'Santa Maria, CA'}"
0.0,{'SNP'},"{'St. Paul, AK'}"
0.0,{'MRY'},"{'Monterey, CA'}"
0.0,{'SOV'},"{'Seldovia, AK'}"
0.0,{'SOW'},"{'Show Low, AZ'}"
0.0,{'SHG'},"{'Shungnak, AK'}"
0.0,{'SGY'},"{'Skagway, AK'}"
0.0,{'ROP'},"{'Rota, TT'}"
0.0,{'SGU'},"{'St. George, UT'}"
0.0,{'ROW'},"{'Roswell, NM'}"
0.0,{'RSH'},"{'Russian Mission, AK'}"
0.0,{'RUT'},"{'Rutland, VT'}"
0.0,{'TUL'},"{'Tulsa, OK'}"
0.0,{'SAF'},"{'Santa Fe, NM'}"
0.0,{'SAV'},"{'Savannah, GA'}"
0.0,{'SBD'},"{'San Bernardino, CA'}"
0.0,{'SBN'},"{'South Bend, IN'}"
0.0,{'HDN'},"{'Hayden, CO'}"
0.0,{'SBY'},"{'Salisbury, MD'}"
0.0,{'SCE'},"{'State College, PA'}"
0.0,{'SCK'},"{'Stockton, CA'}"
0.0,{'SDP'},"{'Sandpoint, AK'}"
0.0,{'SDY'},"{'Sidney, MT'}"
0.0,{'SGF'},"{'Springfield, MO'}"
0.0,{'RBN'},"{'Fort Jefferson, FL'}"
0.0,{'LIT'},"{'Little Rock, AR'}"
0.0,{'LAF'},"{'Lafayette, IN'}"
0.0,{'CGA'},"{'Craig, AK'}"
0.0,{'CDC'},"{'Cedar City, UT'}"
0.0,{'CDR'},"{'Chadron, NE'}"
0.0,"{'ICT', 'VWS'}","{'Wichita, KS'}"
0.0,{'CEC'},"{'Crescent City, CA'}"
0.0,{'CEF'},"{'Chicopee Falls, MA'}"
0.0,{'CEM'},"{'Central, AK'}"
0.0,{'CEZ'},"{'Cortez, CO'}"
0.0,{'CGI'},"{'Cape Girardeau, MO'}"
0.0,{'CLD'},"{'Carlsbad, CA'}"
0.0,{'CHA'},"{'Chattanooga, TN'}"
0.0,"{'CHS', 'SC6'}","{'Charleston, SC'}"
0.0,{'CHU'},"{'Chuathbaluk, AK'}"
0.0,{'CID'},"{'Cedar Rapids/Iowa City, IA'}"
0.0,{'CIK'},"{'Chalkyitsik, AK'}"
0.0,{'CIU'},"{'Sault Ste. Marie, MI'}"
0.0,{'CKD'},"{'Crooked Creek, AK'}"
0.0,{'CDV'},"{'Cordova, AK'}"
0.0,{'GTR'},"{'Columbus, MS'}"
0.0,{'CAE'},"{'Columbia, SC'}"
0.0,{'C01'},"{'Camarillo, CA'}"
0.0,{'BLI'},"{'Bellingham, WA'}"
0.0,{'BLV'},"{'Belleville, IL'}"
0.0,{'BMG'},"{'Bloomington, IN'}"
0.0,{'BMI'},"{'Bloomington/Normal, IL'}"
0.0,{'BOI'},"{'Boise, ID'}"
0.0,{'BPT'},"{'Beaumont/Port Arthur, TX'}"
0.0,{'BQN'},"{'Aguadilla, PR'}"
0.0,{'BRD'},"{'Brainerd, MN'}"
0.0,{'BRL'},"{'Burlington, IA'}"
0.0,{'BRO'},"{'Brownsville, TX'}"
0.0,{'BTI'},"{'Barter Island, AK'}"
0.0,{'BTM'},"{'Butte, MT'}"
0.0,{'BTT'},"{'Bettles, AK'}"
0.0,{'BTV'},"{'Burlington, VT'}"
0.0,{'BWD'},"{'Brownwood, TX'}"
0.0,{'CKX'},"{'Chicken, AK'}"
0.0,{'CLL'},"{'College Station/Bryan, TX'}"
0.0,{'KYU'},"{'Koyukuk, AK'}"
0.0,{'DIO'},"{'Diomede Island, AK'}"
0.0,{'DAB'},"{'Daytona Beach, FL'}"
0.0,{'DAY'},"{'Dayton, OH'}"
0.0,{'DBQ'},"{'Dubuque, IA'}"
0.0,{'DDC'},"{'Dodge City, KS'}"
0.0,{'DEC'},"{'Decatur, IL'}"
0.0,{'DHN'},"{'Dothan, AL'}"
0.0,{'DIK'},"{'Dickinson, ND'}"
0.0,{'DJN'},"{'Delta Junction, AK'}"
0.0,{'CLP'},"{'Clarks Point, AK'}"
0.0,{'DRT'},"{'Del Rio, TX'}"
0.0,{'DLH'},"{'Duluth, MN'}"
0.0,{'HNS'},"{'Haines, AK'}"
0.0,{'PTU'},"{'Platinum, AK'}"
0.0,{'DRG'},"{'Deering, AK'}"
0.0,{'DSI'},"{'Destin, FL'}"
0.0,{'DSM'},"{'Des Moines, IA'}"
0.0,{'CZN'},"{'Chisana, AK'}"
0.0,{'CYS'},"{'Cheyenne, WY'}"
0.0,{'CYF'},"{'Chefornak, AK'}"
0.0,{'CXO'},"{'Conroe, TX'}"
0.0,{'CMI'},"{'Champaign/Urbana, IL'}"
0.0,{'CMX'},"{'Hancock/Houghton, MI'}"
0.0,{'CNM'},"{'Carlsbad, NM'}"
0.0,{'CNY'},"{'Moab, UT'}"
0.0,{'COD'},"{'Cody, WY'}"
0.0,{'COE'},"{""Coeur d'Alene, ID""}"
0.0,{'CPR'},"{'Casper, WY'}"
0.0,{'MYR'},"{'Myrtle Beach, SC'}"
0.0,{'CRP'},"{'Corpus Christi, TX'}"
0.0,{'CRW'},"{'Charleston/Dunbar, WV'}"
0.0,{'CSG'},"{'Columbus, GA'}"
0.0,{'CTH'},"{'Coatesville, PA'}"
0.0,{'CVN'},"{'Clovis, NM'}"
0.0,{'LCH'},"{'Lake Charles, LA'}"
0.0,{'CXF'},"{'Coldfoot, AK'}"
0.0,{'BKW'},"{'Beckley, WV'}"
0.0,"{'CGF', 'BKL', 'CLE', 'CAK'}","{'Cleveland, OH', 'Akron, OH'}"
0.0,{'BKC'},"{'Buckland, AK'}"
0.0,{'ALO'},"{'Waterloo, IA'}"
0.0,{'AHN'},"{'Athens, GA'}"
0.0,{'AIA'},"{'Alliance, NE'}"
0.0,{'AIN'},"{'Wainwright, AK'}"
0.0,{'AKB'},"{'Atka, AK'}"
0.0,{'AKI'},"{'Akiak, AK'}"
0.0,{'AKP'},"{'Anaktuvuk Pass, AK'}"
0.0,{'HSV'},"{'Huntsville, AL'}"
0.0,{'ALS'},"{'Alamosa, CO'}"
0.0,{'BJI'},"{'Bemidji, MN'}"
0.0,{'ALW'},"{'Walla Walla, WA'}"
0.0,{'AMA'},"{'Amarillo, TX'}"
0.0,{'DRO'},"{'Durango, CO'}"
0.0,{'AMW'},"{'Ames, IA'}"
0.0,{'ANV'},"{'Anvik, AK'}"
0.0,{'AOO'},"{'Altoona, PA'}"
0.0,{'APF'},"{'Naples, FL'}"
0.0,{'AGS'},"{'Augusta, GA'}"
0.0,{'AGN'},"{'Angoon, AK'}"
0.0,{'AEX'},"{'Alexandria, LA'}"
0.0,{'AET'},"{'Allakaket, AK'}"
0.0,{'1G4'},"{'Peach Springs, AZ'}"
0.0,{'WLK'},"{'Selawik, AK'}"
0.0,{'ADQ'},"{'Kodiak, AK'}"
0.0,"{'SCC', 'AA8'}","{'Deadhorse, AK'}"
0.0,{'JZE'},"{'Trading Bay, AK'}"
0.0,{'ABE'},"{'Allentown/Bethlehem/Easton, PA'}"
0.0,{'ABI'},"{'Abilene, TX'}"
0.0,{'ABL'},"{'Ambler, AK'}"
0.0,{'ABR'},"{'Aberdeen, SD'}"
0.0,{'ABY'},"{'Albany, GA'}"
0.0,{'ACT'},"{'Waco, TX'}"
0.0,{'ACV'},"{'Arcata/Eureka, CA'}"
0.0,{'ACY'},"{'Atlantic City, NJ'}"
0.0,{'ADK'},"{'Adak Island, AK'}"
0.0,{'ADM'},"{'Ardmore, OK'}"
